"RecordID";"TimeStamp";"DeltaToUTC";"UserID";"ObjectID";"Description";"Comment";"Checksum"
574016;"08/03/2019 07:11:13";"-1:00";"BCO";"PHASE: GESTION POMPE YSTRAL ETAPE: 4 MODE STAND-BY";"Changement d'étape";;4O6E8/
574017;"08/03/2019 07:11:53";"-1:00";"BCO";"PHASE: INTRODUCTION LIQUIDES";"Appel Opérateur";;XnP3sM
574018;"08/03/2019 07:12:23";"-1:00";"BCO";"PHASE: INTRODUCTION LIQUIDES";"Confirmation opérateur";;HA/C5s
574019;"08/03/2019 07:12:23";"-1:00";"BCO";"PHASE: GESTION POMPE YSTRAL ETAPE: 7 MODE DISPERSING";"Changement d'étape";;V/5tbm
574020;"08/03/2019 07:12:23";"-1:00";"BCO";"PHASE: INTRODUCTION LIQUIDES ETAPE: 5 INTRO. EAU PURIFIEE";"Changement d'étape";;AkuaMT
574021;"08/03/2019 07:16:09";"-1:00";"BCO";"PHASE: INTRODUCTION LIQUIDES";"Confirmation opérateur";;MMgkQc
574022;"08/03/2019 07:16:09";"-1:00";"BCO";"PHASE: INTRODUCTION LIQUIDES ETAPE: 7 FIN INTRODUCTION";"Changement d'étape";;aBn2Gd
574023;"08/03/2019 07:16:09";"-1:00";"BCO";"PHASE: GESTION POMPE YSTRAL ETAPE: 4 MODE STAND-BY";"Changement d'étape";;Nm8M95
574024;"08/03/2019 07:16:11";"-1:00";"BCO";"PHASE: GESTION POMPE YSTRAL ETAPE: 5 AUTOR. ENTREE  PROD";"Changement d'étape";;aKeEng
574025;"08/03/2019 07:16:15";"-1:00";"BCO";"PHASE: GESTION POMPE YSTRAL ETAPE: 6 ARRET POMPE ";"Changement d'étape";;xMKotO
574026;"08/03/2019 07:16:19";"-1:00";"BCO";"PHASE: GESTION POMPE YSTRAL";"Annulée";;pMeahf
574027;"08/03/2019 07:16:19";"-1:00";"BCO";"PHASE: GESTION POMPE YSTRAL ETAPE: 0 REPOS";"Changement d'étape";;mn2UXo
574028;"08/03/2019 07:16:39";"-1:00";"BCO";"PHASE: INTRODUCTION LIQUIDES";"Appel Opérateur";;8ZRh0N
574029;"08/03/2019 07:17:07";"-1:00";"BCO";"PHASE: INTRODUCTION LIQUIDES";"Confirmation opérateur";;byZpVG
574030;"08/03/2019 07:17:07";"-1:00";"BCO";"PHASE: GESTION POMPE YSTRAL";"En Marche";;jtxPDV
574031;"08/03/2019 07:17:07";"-1:00";"BCO";"PHASE: RECIRCULATION ET AGITATION";"En Marche";;Uxoa2j
